IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
84.235.172.143,443,443,TRUE,FRA,Europe,Frankfurt,315,5.2
158.180.30.2,443,443,TRUE,FRA,Europe,Frankfurt,266,5.2
152.70.49.231,443,443,TRUE,FRA,Europe,Frankfurt,253,5.2
130.162.167.100,443,443,TRUE,FRA,Europe,Frankfurt,264,5.19
130.162.171.237,443,443,TRUE,FRA,Europe,Frankfurt,267,5.19
141.147.119.5,443,443,TRUE,FRA,Europe,Frankfurt,287,5.18
140.238.81.102,443,443,TRUE,FRA,Europe,Frankfurt,276,5.18
144.21.56.244,443,443,TRUE,FRA,Europe,Frankfurt,269,5.18
84.8.159.246,443,443,TRUE,FRA,Europe,Frankfurt,313,5.18
129.159.207.254,443,443,TRUE,FRA,Europe,Frankfurt,253,5.16
158.101.201.68,443,443,TRUE,FRA,Europe,Frankfurt,256,5.16
144.21.63.246,443,443,TRUE,FRA,Europe,Frankfurt,264,5.14
141.144.207.134,443,443,TRUE,FRA,Europe,Frankfurt,253,5.14
130.162.223.183,443,443,TRUE,FRA,Europe,Frankfurt,246,5.14
158.101.182.128,443,443,TRUE,FRA,Europe,Frankfurt,249,5.12
141.147.80.178,443,443,TRUE,FRA,Europe,Frankfurt,257,5.11
152.70.185.19,443,443,TRUE,FRA,Europe,Frankfurt,271,5.11
141.147.70.110,443,443,TRUE,FRA,Europe,Frankfurt,261,5.1
141.147.90.206,443,443,TRUE,FRA,Europe,Frankfurt,257,5.1
144.24.173.250,2096,443,TRUE,FRA,Europe,Frankfurt,329,5.09
84.235.164.124,443,443,TRUE,FRA,Europe,Frankfurt,253,5.09
84.8.157.38,443,443,TRUE,FRA,Europe,Frankfurt,262,5.08
141.147.57.12,443,443,TRUE,FRA,Europe,Frankfurt,311,5.08
150.230.147.169,443,443,TRUE,FRA,Europe,Frankfurt,247,5.08
146.56.132.247,443,443,TRUE,NRT,Asia Pacific,Tokyo,119,5.07
