IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.40.210,443,443,true,FRA,Europe,Frankfurt,286,4.56
34.118.68.169,443,443,true,FRA,Europe,Frankfurt,270,4.56
34.90.11.5,443,443,true,FRA,Europe,Frankfurt,264,4.55
34.159.64.80,443,443,true,FRA,Europe,Frankfurt,261,4.55
34.118.111.208,443,443,true,FRA,Europe,Frankfurt,283,4.55
34.118.38.18,443,443,true,FRA,Europe,Frankfurt,282,4.55
34.32.207.224,443,443,true,FRA,Europe,Frankfurt,272,4.55
34.32.216.47,443,443,true,FRA,Europe,Frankfurt,256,4.55
34.116.198.118,443,443,true,FRA,Europe,Frankfurt,316,4.55
34.118.121.202,443,443,true,FRA,Europe,Frankfurt,292,4.55
34.118.111.149,443,443,true,FRA,Europe,Frankfurt,273,4.55
34.32.216.47,443,443,true,FRA,Europe,Frankfurt,262,4.54
34.118.16.200,443,443,true,FRA,Europe,Frankfurt,286,4.54
34.91.171.198,443,443,true,FRA,Europe,Frankfurt,259,4.54
34.141.152.53,443,443,true,FRA,Europe,Frankfurt,257,4.53
34.118.20.193,443,443,true,FRA,Europe,Frankfurt,278,4.53
34.116.211.148,443,443,true,FRA,Europe,Frankfurt,291,4.53
34.118.77.33,443,443,true,FRA,Europe,Frankfurt,292,4.53
34.118.54.96,443,443,true,FRA,Europe,Frankfurt,279,4.53
34.154.172.150,443,443,true,FRA,Europe,Frankfurt,250,4.53
35.230.169.129,443,443,true,IAD,North America,Ashburn,231,4.52
34.118.87.30,443,443,true,FRA,Europe,Frankfurt,282,4.52
34.32.159.13,443,443,true,FRA,Europe,Frankfurt,259,4.52
34.118.107.128,443,443,true,FRA,Europe,Frankfurt,280,4.52
34.118.4.189,443,443,true,FRA,Europe,Frankfurt,272,4.51
34.65.146.53,443,443,true,FRA,Europe,Frankfurt,259,4.50
34.118.17.230,443,443,true,FRA,Europe,Frankfurt,280,4.50
34.154.186.47,443,443,true,FRA,Europe,Frankfurt,262,4.50
34.118.32.216,443,443,true,FRA,Europe,Frankfurt,342,4.50
34.116.152.58,443,443,true,FRA,Europe,Frankfurt,300,4.49
34.91.171.198,443,443,true,FRA,Europe,Frankfurt,263,4.49
34.91.115.14,443,443,true,FRA,Europe,Frankfurt,272,4.49
34.65.233.61,443,443,true,FRA,Europe,Frankfurt,256,4.48
34.116.186.249,443,443,true,FRA,Europe,Frankfurt,320,4.48
34.91.115.14,443,443,true,FRA,Europe,Frankfurt,272,4.48
34.107.21.13,443,443,true,FRA,Europe,Frankfurt,274,4.48
34.34.34.56,443,443,true,FRA,Europe,Frankfurt,256,4.47
34.91.162.60,443,443,true,FRA,Europe,Frankfurt,257,4.47
34.118.110.102,443,443,true,FRA,Europe,Frankfurt,280,4.46
34.34.9.157,443,443,true,FRA,Europe,Frankfurt,260,4.46
34.91.251.139,443,443,true,FRA,Europe,Frankfurt,270,4.46
34.147.118.212,443,443,true,FRA,Europe,Frankfurt,267,4.46
34.118.115.199,443,443,true,FRA,Europe,Frankfurt,287,4.46
34.118.36.53,443,443,true,FRA,Europe,Frankfurt,334,4.46
34.116.219.249,443,443,true,FRA,Europe,Frankfurt,270,4.45
34.65.139.231,443,443,true,FRA,Europe,Frankfurt,262,4.45
34.90.21.1,443,443,true,FRA,Europe,Frankfurt,269,4.45
34.116.236.156,443,443,true,FRA,Europe,Frankfurt,281,4.44
34.118.111.34,443,443,true,FRA,Europe,Frankfurt,270,4.44
34.154.127.142,443,443,true,FRA,Europe,Frankfurt,278,4.43
34.91.162.60,443,443,true,FRA,Europe,Frankfurt,267,4.43
34.32.152.12,443,443,true,FRA,Europe,Frankfurt,263,4.43
34.34.59.166,443,443,true,FRA,Europe,Frankfurt,258,4.42
34.91.115.14,443,443,true,FRA,Europe,Frankfurt,263,4.42
34.116.219.249,443,443,true,FRA,Europe,Frankfurt,318,4.42
34.116.128.81,443,443,true,FRA,Europe,Frankfurt,282,4.42
34.89.222.45,443,443,true,FRA,Europe,Frankfurt,267,4.42
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,261,4.41
34.118.91.168,443,443,true,FRA,Europe,Frankfurt,270,4.41
34.116.222.28,443,443,true,FRA,Europe,Frankfurt,271,4.41
34.154.70.45,443,443,true,FRA,Europe,Frankfurt,272,4.41
34.65.247.155,443,443,true,FRA,Europe,Frankfurt,263,4.41
34.65.19.239,443,443,true,FRA,Europe,Frankfurt,279,4.41
34.159.180.192,443,443,true,FRA,Europe,Frankfurt,278,4.40
34.65.29.141,443,443,true,FRA,Europe,Frankfurt,256,4.40
34.107.65.94,443,443,true,FRA,Europe,Frankfurt,285,4.40
34.118.78.109,443,443,true,FRA,Europe,Frankfurt,284,4.40
34.90.17.6,443,443,true,FRA,Europe,Frankfurt,272,4.40
35.204.246.189,443,443,true,FRA,Europe,Frankfurt,267,4.39
34.91.162.60,443,443,true,FRA,Europe,Frankfurt,278,4.39
34.32.137.92,443,443,true,FRA,Europe,Frankfurt,259,4.39
34.118.99.126,443,443,true,FRA,Europe,Frankfurt,281,4.39
34.118.32.216,443,443,true,FRA,Europe,Frankfurt,301,4.38
34.32.212.100,443,443,true,FRA,Europe,Frankfurt,258,4.38
34.65.37.122,443,443,true,FRA,Europe,Frankfurt,249,4.38
34.118.49.212,443,443,true,FRA,Europe,Frankfurt,285,4.37
34.118.72.139,443,443,true,FRA,Europe,Frankfurt,284,4.37
34.91.171.198,443,443,true,FRA,Europe,Frankfurt,295,4.37
34.118.57.162,443,443,true,FRA,Europe,Frankfurt,270,4.37
34.116.131.199,443,443,true,FRA,Europe,Frankfurt,347,4.36
34.118.20.118,443,443,true,FRA,Europe,Frankfurt,278,4.36
34.118.93.127,443,443,true,FRA,Europe,Frankfurt,277,4.36
34.91.175.12,443,443,true,FRA,Europe,Frankfurt,268,4.36
34.116.244.155,443,443,true,FRA,Europe,Frankfurt,330,4.36
34.65.247.155,443,443,true,FRA,Europe,Frankfurt,253,4.36
34.118.6.179,443,443,true,FRA,Europe,Frankfurt,293,4.36
34.91.115.14,443,443,true,FRA,Europe,Frankfurt,269,4.35
34.89.175.126,443,443,true,FRA,Europe,Frankfurt,272,4.35
34.89.236.249,443,443,true,FRA,Europe,Frankfurt,262,4.34
34.91.175.12,443,443,true,FRA,Europe,Frankfurt,260,4.34
34.118.99.126,443,443,true,FRA,Europe,Frankfurt,270,4.34
34.118.60.19,443,443,true,FRA,Europe,Frankfurt,300,4.34
34.118.46.206,443,443,true,FRA,Europe,Frankfurt,272,4.34
34.141.54.241,443,443,true,FRA,Europe,Frankfurt,313,4.33
34.118.74.5,443,443,true,FRA,Europe,Frankfurt,267,4.33
34.116.147.20,443,443,true,FRA,Europe,Frankfurt,320,4.32
34.89.236.249,443,443,true,FRA,Europe,Frankfurt,263,4.32
34.65.184.187,443,443,true,FRA,Europe,Frankfurt,276,4.32
34.65.206.96,443,443,true,FRA,Europe,Frankfurt,277,4.32
34.91.10.68,443,443,true,FRA,Europe,Frankfurt,273,4.32
34.89.145.14,443,443,true,FRA,Europe,Frankfurt,272,4.31
34.107.21.13,443,443,true,FRA,Europe,Frankfurt,279,4.31
34.118.105.125,443,443,true,FRA,Europe,Frankfurt,274,4.30
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,261,4.30
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,261,4.30
34.118.12.136,443,443,true,FRA,Europe,Frankfurt,322,4.30
34.116.201.167,443,443,true,FRA,Europe,Frankfurt,357,4.30
34.65.177.164,443,443,true,FRA,Europe,Frankfurt,262,4.30
34.141.80.63,443,443,true,FRA,Europe,Frankfurt,259,4.29
34.91.29.251,443,443,true,FRA,Europe,Frankfurt,259,4.29
34.118.20.118,443,443,true,FRA,Europe,Frankfurt,315,4.29
34.118.49.212,443,443,true,FRA,Europe,Frankfurt,284,4.29
34.65.176.196,443,443,true,FRA,Europe,Frankfurt,250,4.29
34.116.208.99,443,443,true,FRA,Europe,Frankfurt,257,4.29
34.118.88.129,443,443,true,FRA,Europe,Frankfurt,282,4.28
34.32.152.12,443,443,true,FRA,Europe,Frankfurt,261,4.27
34.107.25.251,443,443,true,FRA,Europe,Frankfurt,317,4.27
34.159.236.252,443,443,true,FRA,Europe,Frankfurt,276,4.27
34.65.36.57,443,443,true,FRA,Europe,Frankfurt,262,4.27
34.32.214.127,443,443,true,FRA,Europe,Frankfurt,274,4.27
34.90.89.224,443,443,true,FRA,Europe,Frankfurt,259,4.27
34.118.127.195,443,443,true,FRA,Europe,Frankfurt,279,4.27
34.116.151.200,443,443,true,FRA,Europe,Frankfurt,407,4.26
34.89.209.134,443,443,true,FRA,Europe,Frankfurt,259,4.26
34.147.46.136,443,443,true,FRA,Europe,Frankfurt,264,4.25
34.91.175.12,443,443,true,FRA,Europe,Frankfurt,256,4.24
34.147.39.146,443,443,true,FRA,Europe,Frankfurt,259,4.24
34.154.172.28,443,443,true,FRA,Europe,Frankfurt,275,4.24
34.118.115.199,443,443,true,FRA,Europe,Frankfurt,272,4.24
34.32.217.226,443,443,true,FRA,Europe,Frankfurt,269,4.23
34.118.109.210,443,443,true,FRA,Europe,Frankfurt,282,4.22
34.154.64.122,443,443,true,FRA,Europe,Frankfurt,257,4.21
34.89.151.141,443,443,true,FRA,Europe,Frankfurt,249,4.20
34.154.87.32,443,443,true,FRA,Europe,Frankfurt,269,4.20
34.90.57.238,443,443,true,FRA,Europe,Frankfurt,278,4.19
34.91.166.255,443,443,true,FRA,Europe,Frankfurt,256,4.19
34.118.77.217,443,443,true,FRA,Europe,Frankfurt,281,4.19
34.116.236.156,443,443,true,FRA,Europe,Frankfurt,298,4.19
34.65.113.46,443,443,true,FRA,Europe,Frankfurt,265,4.19
34.34.9.157,443,443,true,FRA,Europe,Frankfurt,259,4.19
34.147.24.13,443,443,true,FRA,Europe,Frankfurt,270,4.19
34.65.248.147,443,443,true,FRA,Europe,Frankfurt,284,4.19
34.116.147.20,443,443,true,FRA,Europe,Frankfurt,272,4.18
34.34.34.56,443,443,true,FRA,Europe,Frankfurt,270,4.15
34.90.17.6,443,443,true,FRA,Europe,Frankfurt,269,4.15
34.118.107.128,443,443,true,FRA,Europe,Frankfurt,277,4.15
34.32.232.165,443,443,true,FRA,Europe,Frankfurt,260,4.15
34.89.175.126,443,443,true,FRA,Europe,Frankfurt,270,4.14
34.116.204.154,443,443,true,FRA,Europe,Frankfurt,270,4.14
34.90.21.1,443,443,true,FRA,Europe,Frankfurt,257,4.13
34.118.29.222,443,443,true,FRA,Europe,Frankfurt,311,4.12
34.89.236.249,443,443,true,FRA,Europe,Frankfurt,265,4.12
34.141.81.29,443,443,true,FRA,Europe,Frankfurt,257,4.11
34.107.37.194,443,443,true,FRA,Europe,Frankfurt,257,4.11
34.116.135.49,443,443,true,FRA,Europe,Frankfurt,378,4.10
34.116.208.135,443,443,true,FRA,Europe,Frankfurt,296,4.10
34.116.159.225,443,443,true,FRA,Europe,Frankfurt,283,4.10
34.118.93.127,443,443,true,FRA,Europe,Frankfurt,282,4.09
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,251,4.09
34.65.29.141,443,443,true,FRA,Europe,Frankfurt,256,4.09
34.116.244.60,443,443,true,FRA,Europe,Frankfurt,331,4.09
34.65.113.46,443,443,true,FRA,Europe,Frankfurt,259,4.08
34.118.57.162,443,443,true,FRA,Europe,Frankfurt,284,4.06
